id;address;category;description;title
1000;Sydney;Retail & Consumer Products;Have you had 10 years experience in fresh produce that wants to manage their own store for a family owned Australian company that is passionate about food. We are looking for: Must have 10+ years in the fresh food business and have the passion for the role. Current 2IC looking to progress with training into Store manager role. Excellent customer service and communication skills Be hands on and have a can do attitude Be into the fresh food business and have the passion for the role Hardworking, ambitious and competitive people who are passionate about good food. Are able to maximise the financial return in their market, ensuring it meets sales, margin and wages budgets. Have exceptional merchandising capabilities and customer service skills helping us to create unique shopping experiences for our customers. Have a wealth of knowledge of fresh food retailing and a willingness to share this knowledge. Can lead, manage and motivate a teams. Must be able to work weekend and use to early starts which is what fresh produce is all about Whats in it for you: Good salary package $100 K + super + benefits Fun and challenging work environment Great career opportunities Exceptional products and brand reputation Amazing teams Strong expanding business If this is you apply now, interviewing now To apply online, please click on the apply button. Alternatively, for a confidential discussion, please contact Sebastian Waddell on , quoting Ref No. 147061 or otherwise please check out our website for other available positions. www.frontlineretail.com.au;Store Manager - Fresh Produce
1001;Brisbane;Government & Defence;The Opportunity: The Client Solution Analyst provides technical support through receiving and responding to all customer requests and queries relating to Levels 1/2 work and apply technical expertise in the timely and accurate resolution of issues. This role ensures the delivery of efficient and high quality Levels 1/2 corporate IT support services to customers. Key Accountabilities: Manager user accounts including the maintenance of IT security and account lifecycles for Powerlink staff, external vendors and outsourced partners Manage incidents and requests through to resolution, or escalation as appropriate, in a timely manner and within agreed service level agreements Maintain close communications and proactively liaise with internal and external customers, in order to support Business IT Projects, and ensure continuous improvement Monitor, maintain and update all relevant asset records within the asset registers (i.e. SAP) Participate in the management process of offsite storage of backup media for all of Powerlinkâ€™s corporate data. Participating in the on call roster. Skills and Experience Demonstrated experience working within a Service Desk function Demonstrated ability to analyse and solve problems High level of customer service and can do attitude Motivated, positive, self-starter with the ability to work within a team Qualifications Qualifications in relevant discipline such as business or computing Demonstrated experience in a Service Desk function Relevant professional qualifications in ITIL practices and/or other applicable audit or industry standards (desirable) Practical experience in ITSM approach (desirable) Completion of, or current participation in, Microsoft Certification (desirable) To Apply To register your interest, please click on the â€œApplyâ€ button and upload your resume and covering letter. Applications will close atÂ 8:00am 24 April 2018.Â  Â  All applications will be reviewed after this date.Â Please monitor your email for any further communication. For further information please review the Position Description below Â Position Description - Client Solution Analyst - March 2018.pdf;Client Solution Analyst
1002;Sydney;Trades & Services;An innovative business development role for an award-winning company Full time position Monday to Friday work Fully Maintained Van Comprehensive in House training You will be joining a great company with excellent products and a friendly team Focus on providing outstanding customer care We are a family-focused business and we support charitable enterprises such as Orange Sky mobile laundries, women's shelters and communities-at-need. Established in 1969, our Australian-owned family company has grown from a single laundromat in Adelaide to an internationally award-winning corporation with exclusive distribution arrangements with the world's premium brands including Electrolux, LG and Maytag.Â  Our blue-chip clients include the Sydney Opera House, the Australian Defence Force, the Hilton Group, the Royal Adelaide Hospital, BHP and McDonalds.Â  We have doubled in size in the last decade and as Australia's leading distributor of laundry solutions we are the only national company with offices and warehouses in every state.Â  Our focus is on continual innovation - we partnered with Orange Sky to develop the first global laundry-in-a-van, and we just launched the revolutionary Xeros washing technology which saves up to 80% in water usage. This full-time position will be joining our existing team which provides laundry solutions to our customers Australia wide. The ideal applicant will have a current electrical license with experience in a related field.Â  You will also be methodical with attention to detail, and complete given service jobs within a specific time frame. You will have excellent communication and customer service skills with a focus on time management, demonstrated planning and organisational skills. As an employer, we pride ourselves on our positive corporate culture and encourage applications from a diverse range of candidates.Â  You may be in an existing high-level role looking for a position that better suits your lifestyle, or a go-getter looking for the next step.Â  Regardless of circumstances, this is a fantastic opportunity for those who have excelled in the past and are looking for a significant role, with increased flexibility and autonomy. To be successful in this role, you will need: A nice to have - Current NSW Electrical Licence Excellent customer service Servicing, installation and commissioning of equipment Providing preventative maintenance of equipment Working autonomously under limited supervision Clear communication with attention to detail skills Ideally you will have experience in a similar role If you are a motivated and experienced Service Technician/Installer with excellent communication skills and ready for a positive change, send your CV in to us today. No Recruitment Agencies please;Service Technician / Installer - NSW
1003;Melbourne;Trades & Services;About the role: We are seeking an Automotive Workshop Technician to join our busy Springvale workshop. In this role you will be responsible for Pre-Delivery inspections, troubleshooting, scheduled maintenance as well as more involved technical repairs of forklifts. Â  Whatâ€™s on offer? We offer above award wages in line with experience and our team members receive ongoing technical training, access to paid forklift training and certification plus onsite parking. We have a proven track record of promoting our team members so career development is a genuine reality if youâ€™re serious about establishing your career within Material Handling. About you: You will have a Mechanical Trade Certificate and mechanical experience including servicing and diagnostics gained in any mechanical industry. Weâ€™re looking for people with a strong commitment to safe work practices and good communication skills. You will be no stranger to working in a fast paced environment to meet changing deadlines and enjoy working in a team environment. About us: We are the largest Australian owned and operated forklift company in the nation.Â  We are currently experiencing growth and as a result of this we are recruiting nationally for Technicians. To learn more about us, please visit our website: http://www.aalhysterforklifts.com.au/ For a confidential chat please call Belinda Carey, Recruitment Consultant (03) 9549 8152 or email bcarey@aalgroup.com.au *Note: We will not accept unsolicited CVs from recruitment agencies/third parties and we will not be liable or responsible for any fees or costs associated with unsolicited CVs sent directly to line managers.;Workshop Technician I Material Handling Equipment
1004;Adelaide;Trades & Services; Â Early starts and weekend shifts. No experience necessary as long as you have a great attitude we will teach you great skills. Potential to run your own store after apprenticeship. ;APPRENTICESHIP JUNIOR BAKER
1005;Melbourne;Manufacturing, Transport & Logistics;â€¢Â Permanent full time â€¢Â Manufacturing â€¢Â St Kilda Road location One in three Australians will need blood in their lifetime. At the Australian Red Cross Blood Service, weâ€™re entrusted with collecting, processing and delivering this vital supply. We also provide a range of other services to the healthcare sector related to transplantation and immunogenetics, testing, consulting, education and research. Weâ€™re proudly in the business of saving lives. Within a professional and experienced team, you will be responsible for providing the organisation with the required support in the use and management of the Quality System. Specifically you will manage the systems supported by the Quality Systems Delivery team to ensure they deliver compliant outcomes in the most efficient manner. Your challenge is to be accountable for or the day to day support of the Quality Management processes including Internal Audit, Vendor Assurance and Change Control. This includes oversight of the processes through data trending and reviewing effectiveness. Parallel to the above you will also be responsible for providing training, coaching and support to the business in the use of the Quality Management Processes as well as identifying and implementing Improvements to these. You will have: â€¢Â Relevant tertiary qualifications in a scientific or technical field â€¢Â Demonstrated experience in Quality Management Systems â€¢Â Extensive knowledge of the blood and tissue code of GMP or similar codes â€¢Â Proven ability to balance regulatory/accreditation requirements (eg GXP , NATA) with business needs â€¢Â Practical knowledge of the structure and role of a Quality Management System in delivering consistent outputs to meet customer requirements â€¢Â Evidence of a continuous improvement mindset with a focus on lean and quality principles You will also be: â€¢Â An excellent communicator with great written and verbal communication skills and capable of building and maintaining excellent relationships â€¢Â Able to effectively train, coach and mentor others â€¢Â Great with detail, decision making and time management Your dedication and hard work will be rewarded with: â€¢Â Pride that your work will impact lives for the better â€¢Â Generous salary packaging benefits â€¢Â Genuine career development opportunities As part of the recruitment process, you may be required to participate in relevant National Police, Employment History and/or Professional Membership and Qualification checks and validation of Australian Work Rights, prior to offer of employment at the Blood Service. The Blood Service is an equal opportunity employer committed to providing a working environment that embraces and values diversity and inclusion. If you have any support or access requirements, we encourage you to advise us at time of application. For further details on this position please contact Rich Wilkes on (03) 9006 1806. To view the position description or apply, please click â€˜Apply for this jobâ€™ to be directed to our website. Applications for this role close Monday, 30 April 2018 at 5:00pm. Whilst we appreciate all interest in our organisation, we regret to inform that we will not be engaging with, or accepting candidates from agencies or consulting firms on this occasion. *LI-2;Quality Management Systems Associate
1006;Sydney;Sales;The Company: YatesÂ is Australia and New Zealand's leading home garden brand, taking pride in providing horticultural innovation and expertise which is second to none.Â  This iconic Australian company is part of the wider DuluxGroup - ASX top 100 listed and has a well-deserved reputation as a great place to work. When you join Yates you step into an enjoyable and professional work environment where your hard work is valued and rewarded. We recognise the vital role our employees play in our continuing success. The Role Reporting to the National Sales Manager Yates and working collaboratively with a high performing Sales and Marketing team, this is an exciting opportunity for a skilled and experienced National Account Manager that thrives on working in a fast-paced environment to manage and develop the Yates relationship throughout the Grocery and Mass merchants channel.Â  Broad in its responsibility, you will play a pivotal role in providing strategic direction and controlling business activities nationally to ensure a cohesive delivery of key channel objectives.Â  Results-focused and influential in your style, you will focus on the consistent delivery of service excellence, joint account plans, implementation of category management philosophies along with national and local promotional programs consistent with the overall Yates business and marketing strategies. Where required, you will also create, execute and manage sales and marketing programs to meet business requirements in terms of assurance of supply, quality, service, cost and innovation. Highly motivated and driven, your demonstrated experience in all aspects of the customer relations cycle and proven capability in the development and delivery of a business growth strategy will see you transition into the position with ease. Essential to the role will be your extensive background in sales and/or marketing at a national senior level in a competitive market. Your tenacity in developing strong business relationships through open collaboration, and a solution based approach will ensure your success. Supported by an accomplished and inspiring National Sales manager, you will thrive in this fast-paced and dynamic environment.Â  A passion for the consumer sector and a track record of delivering growth will drive your success in this challenging and rewarding role. Essential Criteria To be considered for this role you will have a proven background working in Hardware or a Consumer Goods environment in a National Business or Category Manager capacity.Â  Ideally you will also possess: 4+ years' experience as an Account Manager within a mass retail environment, with FMCG and category management experience. Tertiary qualifications in Marketing, Commerce, Business or related discipline Well-developed communication (both written & verbal), presentation and negotiation skills Strong presentation, negotiation and selling skills. Relevant tertiary qualifications in sales & marketing or a related discipline highly regarded Strong analytical skills and understanding of P&L's Excellent computer skills in MS Office including Excel & Power point skills Further to this you will be able to demonstrate the following qualities: High level interpersonal skills with ability to work collaboratively with sales and other functional teams Excellent presentation and strong communication skills (written & verbal) Strong analytical, strategic thinking and problem solving skills High level ability to set priorities and manage competing demands This position carries great accountability and ownership and is an excellent opportunity for an entrepreneurial individual to lead the performance of the Grocery portfolio.Â  In return, you will be offered a competitive remuneration package and an outstanding opportunity to work for a market leader. We strongly believe in developing people's skills and knowledge through training, development opportunities and job moves, and we see this role as a key entry point for a strategic leader with a strong career path. A diverse and inclusive organisation, DuluxGroup provides its talented women & men with a supportive culture and where possible, a flexible working environment. Apply To submit your application please click 'Apply' below or for a confidential discussion please call DuncanÂ on 03 9263 5688. Visit our fantastic website atÂ www.yates.com.auÂ and explore a world of possibilities! Some of our well known and trusted brands are Thrive, Dynamic Lifter, Waterwise, Ratsak, Blitzem, Natures Way and Zero.;Yates - National Account Manager Grocery - Padstow NSW
1007;Brisbane;Community Services & Development;"Are you looking for a job with meaning; one that connects your personal values with an organisation that supports the most vulnerable and disadvantaged people in our community? Do you want to be rewarded with a competitive salary and benefits package; and receive training and ongoing development? Do you want to make a difference? Mercy CommunityÂ provides services in the areas of child protection, multicultural community support, individual and family support, community and residential based aged care, and disability support. Mercy Community supports and inspires people in need to live healthy, connected lives within inclusive communities. Our vision is a world where people, families and communities are strong in spirit, healthy and connected. The Role Our Mercy CommunityÂ Connected Families Program locatedÂ inÂ IpswichÂ has aÂ Permanent FullÂ Time opportunity for a highly motivated professional, with excellent interpersonal skills and a desire to work in a vibrant team environment with families in this region. This role is responsible for quality service delivery to children, young people, families and the community within Connected Families - an Intensive Family Support Service. This position will provide planned support to referred families, particularly Aboriginal and Torres Strait Islander families, with a view to supporting highly vulnerable families to become stronger, capable and more resilient, and improving their overall wellbeing. To see more about thisÂ role, please see the position description located on the position vacancy listing on the Mercy Community website. To be successful in this role, you will have: Level 3Â  requirements: Relevant qualifications (certificate or higher); or Demonstrated experience in working with children and/or families in relation to complex issues Level 4 payÂ requirements: Relevant qualifications (certificate or higher) in addition to significant experience in working with children and/or families in relation to complex issues. Both Classifications To perform this role, it is essential that the person who holds the position be an Aboriginal person or Torres Strait Islander person and is therefore a genuine occupational requirement under section 25, 104 and 105 of the Anti-Discrimination Act 1991 (Qld). A highly developed understanding of Aboriginal and Torres Strait Islander peoples, cultures and societies and the issues which impact upon them in contemporary society together with a commitment to culturally appropriate engagement and practice. Demonstrated intermediate ability to use computer IT systems including MS Word and Excel. Queensland Provisional Green or above Driverâ€™s Licence. Ability to obtain positive notice in the legislatively required personal history check in line with service stream compliance requirements. Evidence of current vaccination against whooping cough or willingness to obtain prior to commencement, unless applicable exemption provided as per the relevant MercyÂ CommunityÂ procedure We encourage you to view website and Employee Value Proposition. This FullÂ Time position offer a competitive remuneration packageÂ of $53,886-$61,335Â in line with a level 3 or 4Â of our Enterprise Agreement (level dependant on skills and qualifications). You will also have the opportunity to increase your take-home pay by salary sacrificing and other benefits available within our Enterprise Agreement.Â  Please include resume and cover letter addressing the Key Selection CriteriaÂ outlinedÂ in the Position Description. Applications Close 30th April 2018Â at 9am. Please note that you must be eligible to work in Australia to be considered for this position. Employment is conditional upon maintaining a clear personal h at 5pmscreening checks throughout employment.";Family Support Worker-Aboriginal &Torres Strait Islander 
1008;Melbourne;Healthcare & Medical;All Sites Permanent Full Time Austin Health is the major provider of tertiary health services, health professional education and research across 3 campuses in the northeast of Melbourne and state-wide. Austin Health is world-renowned for its research and specialist work in cancer, liver transplantation, spinal cord injuries, neurology, endocrinology, mental health and rehabilitation. An exciting opportunity currently exists for an enthusiastic and experiencedÂ Allied Health Assistant - Physiotherapy - Grade 2 (TC1)Â to join ourÂ Physiotherapy Department. Applicants must be current Australian citizens or permanent residents. This is an ongoing full time position. The Allied Health Assistant - PhysiotherapyÂ may rotate through all campuses working under the direction of physiotherapists to perform tasks including hydrotherapy, gym classes, individual treatment sessions, and administration and general activities. Work with us! Your reward is to work in a collaborative environment which will provide you with opportunities for ongoing training and development. Your benefits will include salary packaging, and employee assistance program. All appointments are made subject to a satisfactory National Police Check conducted byÂ Austin HealthÂ and if required, a Working with Children Check. Austin Health is an equal opportunity employer and is committed to attracting and retaining a diverse workforce that reflects the community we serve.Â Applications from Aboriginal and Torres Strait Islanders are encouraged. Enquiries: Tessa O'Dea Ph: (03) 9496 3070 Applications Close: 22/04/2018 To view the position description or submit your application please click the 'Apply Now' button below.;Allied Health Assistant â€“ Physiotherapy
1009;Sydney;Information & Communication Technology;"IT Systems Administrator Â  Southern Sydney Suburbs Permanent Â  Â  The Client Â  Our client is a mid-sized professional services company based south of the Sydney CBD. Â  Â  Job brief We are looking for a IT System Administrator to support, maintain, upgrade and manage our clients software, hardware and networks. Resourcefulness is a necessary skill in this role. Predominantly level 1 & 2 support, you should be able to diagnose and resolve problems quickly. You should also have the patience to communicate with a variety of interdisciplinary teams and users (up to C-level management). The System Administrator will also assist project teams with technical issues in the Initiation and planning phases of projects, so project management experience is ideal. Your goal will be to ensure that the technology infrastructure runs smoothly and efficiently. Â  Responsibilities Plan, install and configure software and hardware Manage network servers and technology tools Set up accounts and workstations Monitor performance and maintain systems according to requirements Troubleshoot issues and outages Ensure security through access controls, backups and firewalls Upgrade systems with new releases and models Develop expertise to train staff on new technologies Project manage IT related rollouts and activities Engage and manage 3rd party vendors Build an internal wiki with technical documentation, manuals and IT policies Requirements 4-8 years proven experience as a System Administrator, IT SupportÂ or similar role Experience with Desktop, Mobile, databases, networks (LAN, WAN) and patch management Project Management delivery experience Knowledge of system security (e.g. intrusion detection systems) and data backup/recovery Microsoft certifications ideal Familiarity with various operating systems and platforms Resourcefulness and problem-solving aptitude Excellent communication skills YOU MUST HAVE A CAR FOR THIS ROLE BSc/Ba in Information Technology, Computer Science or a related discipline; professional certification (e.g. Microsoft Certified Systems Administrator (MCSA)) is a plus What next? If you are interested in learning more, please apply here with a WORD copy of your CV and link to your portfolio and we will be in touch! Alternatively please feel free to get in contact with myself, Sam Reeder, on 02 9259 8761 M&T Resources is an equal opportunities recruitment agency and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law. Follow us on LinkedIn for the latest insights and best opportunities from Australia's most influential organisations. http://www.linkedin.com/company/m-and-t-resources";IT Systems Administrator
